Type,Element,Meaning,Example Word,Example Meaning,Quiz Prompt,Rarity (1-10)
PREFIX,dys-,bad / difficult / abnormal,dyslexia,difficulty with reading,How does 'dys-' change the meaning of 'function' in 'dysfunction'?,3
PREFIX,e- / ex-,out / out of / former,export,to carry out of the country,"Using 'ex-' (out of), explain the meaning of 'exhale.' What is leaving?",1
PREFIX,ecto-,outside / outer,ectoplasm,the outer layer of cytoplasm in a cell,How does 'ecto-' contrast with 'endo-' (within) in biological terms?,6
PREFIX,en- / em-,cause to / put into,empower,to put power into someone,How does 'en-' transform the noun 'courage' in 'encourage'?,2
PREFIX,endo-,within / inner,endoscopy,a visual examination of the interior of the body,How does 'endo-' contrast with 'exo-' in 'endothermic' vs. 'exothermic'?,5
PREFIX,epi-,upon / above / over / in addition,epigenetics,changes in gene expression caused by factors above the DNA sequence,How does 'epi-' shape the meaning of 'epicenter' and 'epitaph' (writing upon a grave)?,4
PREFIX,equi-,equal / equally,equilateral,having all equal sides,"If 'equi-' means equal, what does 'equinox' suggest about day and night?",3
PREFIX,erythro-,red,erythrocyte,a red blood cell,How does 'erythro-' connect 'erythema' (redness of skin) and 'erythropoiesis'?,7
PREFIX,eu-,good / well / true / normal,euphoria,a feeling of great well-being,How does 'eu-' shape the meaning of 'eulogy' (good words) and 'euthanasia'?,4
PREFIX,ex parte-,from one side only (Latin),ex parte hearing,a court proceeding conducted with only one party present,How does 'ex parte' differ from an adversarial hearing? When is it permitted?,5
PREFIX,ex post facto-,after the fact (Latin),ex post facto law,a law that criminalizes conduct that was legal when it occurred,Why does the U.S. Constitution prohibit 'ex post facto' criminal laws?,5
PREFIX,exo-,outside / external / beyond,exosphere,the outermost layer of Earth's atmosphere,How does 'exo-' shape the meaning of 'exoskeleton' vs. 'endoskeleton'?,5
PREFIX,extra-,beyond / outside,extraordinary,beyond the ordinary,How does 'extra-' elevate the meaning of 'ordinary' in 'extraordinary'?,2
PREFIX,fore-,before / in front,foreshadow,to hint at what comes before,What does 'fore-' tell you about the timing in 'forecast'?,2
PREFIX,franch-,free / privilege (business),franchise,a license to operate a business using the franchisor's brand and system,How does a 'franchise' relationship create both commercial opportunity and legal risk for the franchisee?,5
PREFIX,haplo-,single / simple,haploid,having a single set of chromosomes,How does 'haplo-' contrast with 'diplo-' (double) in genetics?,8
PREFIX,hemi-,half,hemisphere,half of a sphere,"If 'hemi-' means half, what does 'hemicycle' describe?",3
PREFIX,hepato-,liver,hepatocyte,a liver cell,How does 'hepato-' connect 'hepatitis' (inflammation of the liver) and 'hepatomegaly'?,7
PREFIX,histo-,tissue,histology,the microscopic study of biological tissue,How does 'histo-' shape the meaning of 'histogenesis' (tissue formation)?,6
PREFIX,homeo-,similar / like / constant,homeostasis,the tendency of a system to maintain internal equilibrium,How does 'homeo-' shape the meaning of 'homeomorphic' (having similar form)?,6
PREFIX,hyper-,over / above / excessive,hyperactive,excessively active,How does 'hyper-' intensify meaning? Compare 'sensitive' and 'hypersensitive.',2
PREFIX,hyper-,over / above / excessive,hyperactive,excessively active,How does 'hyper-' intensify meaning? Compare 'sensitive' and 'hypersensitive.',2
PREFIX,hypo-,under / below / less than normal,hypothesis,a foundational idea placed underneath an argument,What does 'hypo-' suggest about 'hypothermia'? What is happening in the body?,3
PREFIX,hypo-,under / below / less than normal,hypothesis,a foundational idea placed underneath an argument,What does 'hypo-' suggest about 'hypothermia'? What is happening in the body?,3
PREFIX,idio-,one's own / distinct / peculiar,idiopathic,arising from an unknown or spontaneous cause,How does 'idio-' shape the meaning of 'idiosyncrasy' (one's own particular trait)?,7
PREFIX,il- / im- / in- / ir-,not / into,impossible,not possible,How does 'im-' negate 'possible'? Give two more examples using 'in-' or 'ir-.',1
PREFIX,in absentia-,in absence (Latin),trial in absentia,a trial conducted without the defendant present,What due-process concerns arise when a trial proceeds 'in absentia'?,6
PREFIX,in camera-,in the chamber / in private (Latin),in camera review,a judge's private examination of evidence outside the public courtroom,Why might a judge conduct an 'in camera' review of sensitive documents?,6
PREFIX,in limine-,at the threshold (Latin),motion in limine,a pretrial motion to exclude certain evidence before trial begins,How does a motion 'in limine' protect the jury from hearing potentially prejudicial evidence?,7
PREFIX,in pari delicto-,in equal fault (Latin),in pari delicto doctrine,the principle that courts will not assist a plaintiff equally at fault,How does 'in pari delicto' limit a party's ability to sue for relief from an illegal contract?,9
PREFIX,infra-,below / beneath,infrastructure,the foundational systems beneath a society,How does 'infra-' shape the meaning of 'infrared' (below red on the spectrum)?,3
PREFIX,inter alia-,among other things (Latin),inter alia clause,language indicating that listed items are not exhaustive,How does 'inter alia' function as a drafting tool to avoid exhaustive enumeration?,6
PREFIX,inter vivos-,between the living (Latin),inter vivos trust,a trust created and operative during the grantor's lifetime,How does an 'inter vivos' trust differ from a testamentary trust (created by will)?,7
PREFIX,inter-,between / among,international,between or among nations,How does 'inter-' explain the meaning of 'interrupt' (to break between)?,1
PREFIX,inter-,between (business),intercompany loan,a loan between entities within the same corporate group,What are the transfer pricing concerns associated with 'intercompany' loans?,1
PREFIX,intra-,within / inside,intravenous,within the veins,What is the key difference between 'inter-' and 'intra-'? Use examples.,3
PREFIX,ipso facto-,by the fact itself (Latin),ipso facto clause,a contract clause triggering automatic termination upon a specified event,How does an 'ipso facto' clause operate in bankruptcy proceedings?,5
PREFIX,iso-,equal / same / uniform,isometric,having equal measurements in all directions,How does 'iso-' shape the meaning of 'isotope' and 'isobar'?,5
PREFIX,karyo-,nucleus / nut,karyotype,the full chromosomal complement of a cell's nucleus,How does 'karyo-' connect 'prokaryote' (before nucleus) and 'eukaryote' (true nucleus)?,9
PREFIX,leuco-,white,leucocyte,a white blood cell,How does 'leuko-' connect 'leukemia' (white blood disease) and 'leukoderma'?,7
PREFIX,lipo-,fat / lipid,lipolysis,the breakdown of fats,How does 'lipo-' connect 'lipophilic' (fat-loving) and 'lipoprotein'?,6
PREFIX,lis pendens-,pending suit (Latin),lis pendens notice,a recorded notice that litigation affecting title to property is pending,How does a 'lis pendens' filing protect a litigant's interest in real property during litigation?,7
PREFIX,litho-,stone / rock,lithosphere,the rigid rocky outer layer of the Earth,How does 'litho-' connect 'lithograph' (writing on stone) and 'lithification'?,5
PREFIX,locus standi-,place of standing (Latin),locus standi,the legal right to bring an action or challenge a decision,How does 'locus standi' function as a threshold requirement before a court will hear a case?,6
PREFIX,lyso-,dissolving / loosening,lysozyme,an enzyme that dissolves bacterial cell walls,How does 'lyso-' connect 'electrolysis' and 'lysogenic' (carrying a dissolving agent)?,8
PREFIX,macro-,large / long,macroeconomics,the study of large-scale economies,"If 'macro-' means large, what would 'macroscopic' mean?",2
PREFIX,macro-,large / economy-wide (business),macroeconomics,the study of economy-wide phenomena such as inflation and GDP,How do 'macro' economic indicators affect corporate financing decisions?,2
PREFIX,mal-,bad / badly / evil,malfunction,to function badly,How does 'mal-' shape the meaning of 'malnutrition'?,2
PREFIX,mal-,bad / badly / evil,malfunction,to function badly,How does 'mal-' shape the meaning of 'malnutrition'?,2
PREFIX,mega-,very large / million,megaphone,a device that greatly amplifies sound,What does 'mega-' add to the word 'byte' in 'megabyte'?,2
PREFIX,mens rea-,guilty mind (Latin),mens rea requirement,the mental state required for criminal liability,How does 'mens rea' distinguish murder from manslaughter under criminal law?,5
PREFIX,meso-,middle / intermediate,mesosphere,the middle layer of the Earth's atmosphere,How does 'meso-' connect 'mesoderm' (middle germ layer) and 'Mesopotamia' (land between rivers)?,5
PREFIX,meta-,after / beyond / change / about,metacognition,thinking about one's own thinking,How does 'meta-' work differently in 'metabolism' (beyond throwing) and 'metamorphosis'?,4
PREFIX,micro-,very small,microscope,an instrument for viewing very small things,"If 'micro-' means very small, what would 'microorganism' describe?",1
PREFIX,micro-,small / firm-level (business),microfinance,the provision of small loans to entrepreneurs without access to conventional banking,How does 'microfinance' differ from traditional commercial lending in risk profile?,1
PREFIX,mid-,middle,midnight,the middle of the night,How does 'mid-' locate something in time or space? Use 'midpoint' as an example.,1
PREFIX,mis-,wrongly / badly,misspell,to spell incorrectly,Explain how 'mis-' changes the meaning of 'understand' in 'misunderstand.',1
PREFIX,mnemo-,memory,mnemonic,a device or technique that aids memory,How does 'mnemo-' connect to Mnemosyne (the Greek goddess of memory)?,6
PREFIX,mono-,one / single,monologue,a speech by one person,"If 'mono-' means one, what does 'monotone' suggest about a voice?",2
PREFIX,multi-,many / multiple,multilingual,speaking many languages,How does 'multi-' expand the meaning of 'task' in 'multitask'?,1
PREFIX,myco-,fungus,mycology,the study of fungi,How does 'myco-' connect 'mycorrhiza' (fungus-root symbiosis) and 'mycotoxin'?,7
PREFIX,myelo-,marrow / spinal cord,myelopathy,a disease affecting the spinal cord,How does 'myelo-' connect 'myeloma' (bone marrow tumor) and 'myelin'?,7
PREFIX,narco-,stupor / numbness / sleep,narcolepsy,a disorder causing sudden uncontrollable sleep,How does 'narco-' connect 'narcotic' and 'narcosis'?,5
PREFIX,necro-,death / dead tissue,necrosis,the death of body tissue,How does 'necro-' connect 'necromancy' (communicating with the dead) and 'necropolis'?,5
PREFIX,nemo contra-,no one against (Latin),nemo contra factum suum venire potest,no one can contradict their own act (estoppel principle),How does this maxim underpin the doctrine of promissory estoppel?,9
PREFIX,neo-,new / recent,neoclassical,relating to a revival of classical styles,What does 'neo-' suggest about a 'neologism' (neo + logos)?,3
PREFIX,nephro-,kidney,nephrology,the study of kidney function and diseases,How does 'nephro-' connect 'nephritis' and 'nephrectomy' (kidney removal)?,7
PREFIX,neuro-,nerve / nervous system,neuroplasticity,the brain's ability to reorganize neural pathways,"How does 'neuro-' connect 'neurotransmitter,' 'neuropathy,' and 'neuroscience'?",4
PREFIX,noci-,harm / pain (as a stimulus),nociceptor,a sensory receptor that responds to pain stimuli,How does 'noci-' shape the meaning of 'nociception' (the neural process of encoding pain)?,9
PREFIX,non est-,it is not (Latin),non est factum,a plea that a signed document is not one's deed (due to fundamental mistake),How does 'non est factum' differ from ordinary mistake as a contract defense?,9
PREFIX,non-,not,nonfiction,writing that is not fiction,What is the difference between 'non-' and 'un-'? Can 'nonliving' and 'unliving' both work?,1
PREFIX,noso-,disease,nosology,the systematic classification of diseases,How does 'noso-' connect 'nosocomial' (hospital-acquired disease)?,8
PREFIX,nunc pro tunc-,now for then (Latin),nunc pro tunc order,a court order giving retroactive effect to a prior ruling,When might a court issue a 'nunc pro tunc' order to correct the record?,8
PREFIX,ob-,against / toward / in the way,obstacle,something standing in the way,How does 'ob-' shape the meaning of 'object' (to throw against)?,3
PREFIX,obiter-,by the way (Latin),obiter dictum,a judge's incidental remark not essential to the decision,How does 'obiter' (by the way) distinguish dictum from the binding ratio decidendi?,7
PREFIX,oligo-,few / little / scanty,oligarchy,rule by a small number of people,How does 'oligo-' shape the meaning of 'oligopoly' and 'oligonucleotide'?,6
PREFIX,omni-,all / every,omnivore,an animal that eats everything,"If 'omni-' means all, what would 'omniscient' mean? Break it into parts.",2
PREFIX,onco-,tumor / mass,oncology,the study and treatment of tumors,How does 'onco-' connect 'oncogene' (a gene that can cause cancer) and 'oncogenesis'?,6
PREFIX,onto-,being / existence,ontology,the branch of philosophy concerned with the nature of being,How does 'onto-' shape the meaning of 'ontogenesis' (development of an individual organism)?,6
PREFIX,ortho-,straight / correct / upright,orthodontics,the correction of teeth alignment,How does 'ortho-' shape the meaning of 'orthopedics' (straight child/limb) and 'orthodox'?,4
PREFIX,osteo-,bone,osteoporosis,a condition of porous and fragile bones,How does 'osteo-' connect 'osteoblast' (bone-forming cell) and 'osteoclast' (bone-breaking cell)?,5
PREFIX,over-,too much / above / across,overestimate,to estimate too high,How does 'over-' change 'react' in 'overreact'?,1
PREFIX,over-,excessive / above target (business),oversubscription,demand for shares exceeding the number offered in an IPO,What allocation methods do underwriters use when an IPO is 'oversubscribed'?,1
PREFIX,paleo-,ancient / old,paleontology,the study of ancient life through fossils,How does 'paleo-' connect 'Paleolithic' and 'paleoclimatology'?,4
PREFIX,pan-,all / every / whole,pandemic,a disease affecting all people across a region,What does 'pan-' tell you about 'panorama' (a view of everything around)?,3
PREFIX,para-,beside / beyond / altered,paramedic,one who works beside (assisting) a doctor,How does 'para-' shape the meaning of 'parallel'?,3
PREFIX,pari passu-,on equal footing (Latin),pari passu clause,a provision ensuring equal ranking among creditors,How does a 'pari passu' clause protect junior creditors in a debt restructuring?,7
PREFIX,patho-,disease / suffering,pathogenesis,the origin and development of a disease,How does 'patho-' connect 'psychopathology' and 'idiopathic'?,5
PREFIX,per curiam-,by the court (Latin),per curiam opinion,an opinion issued in the name of the court as a whole rather than a named judge,How does a 'per curiam' decision differ from a signed majority opinion in practice?,7
PREFIX,per se-,by itself / in itself (Latin),per se rule,a rule treating certain conduct as inherently illegal without further analysis,How does 'per se' illegality under antitrust law differ from the 'rule of reason' approach?,4
PREFIX,peri-,around / near,perimeter,the measurement around a shape,How does 'peri-' explain the word 'periscope' (to look around)?,3
PREFIX,phago-,eating / engulfing,phagocyte,a cell that engulfs and destroys bacteria,How does 'phago-' connect 'bacteriophage' (bacteria-eater) and 'sarcophagus' (flesh-eater)?,7
PREFIX,pheno-,appearing / showing / light,phenotype,the observable characteristics expressed by an organism,How does 'pheno-' contrast with 'geno-' in 'phenotype' vs. 'genotype'?,5
PREFIX,phylo-,tribe / race / evolutionary lineage,phylogenetics,the study of evolutionary relationships between organisms,How does 'phylo-' connect 'phylum' and 'phylogeny'?,7
PREFIX,phyto-,plant,phytoplankton,microscopic plants drifting in water,How does 'phyto-' connect 'phytochemical' and 'phytoremediation' (plants cleaning toxins)?,7
PREFIX,piezo-,pressure / to press,piezoelectricity,electricity generated by applying pressure to certain materials,How does 'piezo-' shape the meaning of 'piezometer' (pressure-measuring device)?,9
PREFIX,pneumo-,air / lung / breath,pneumothorax,air in the pleural cavity (collapsed lung),"How does 'pneumo-' connect 'pneumonia,' 'pneumatic,' and 'apnea' (without breath)?",6
PREFIX,poly-,many,polygon,a shape with many angles,"If 'poly-' means many, what does 'polyglot' describe?",2
PREFIX,post-,after / behind,postpone,to place something after its original time,How does 'post-' change meaning in 'postwar' versus 'prewar'?,1
PREFIX,pre-,before,prehistoric,before recorded history,What does 'pre-' signal about time? What would 'preview' mean?,1
PREFIX,prima facie-,at first face / on its face (Latin),prima facie case,a case presenting sufficient evidence to prevail unless rebutted,What must a plaintiff establish to make out a 'prima facie' case in employment discrimination?,4
PREFIX,pro bono-,for the good (Latin),pro bono representation,legal services provided free of charge for the public good,How does 'pro bono' work fulfill a lawyer's ethical and professional obligations?,3
PREFIX,pro rata-,in proportion (Latin),pro rata distribution,distribution of assets proportional to each party's share,How does 'pro rata' allocation differ from pari passu distribution among creditors?,4
PREFIX,pro tanto-,for so much (Latin),pro tanto payment,a partial payment accepted as settlement for part of a claim,How does 'pro tanto' credit operate in multi-defendant tort settlements?,8
PREFIX,pro-,before / forward / in favor of,promote,to move forward or raise up,What does 'pro-' suggest about direction in 'progress'?,2
PREFIX,proto-,first / original,prototype,the first model of something,How does 'proto-' shape the meaning of 'protocol' (the first rules)?,3
PREFIX,proto-,first / primitive / original,protostar,an early stage of star formation before nuclear fusion begins,"How does 'proto-' connect 'proton,' 'protoplasm,' and 'protocol'?",3
PREFIX,pseudo-,false / fake,pseudonym,a false name,,3
PREFIX,pseudo-,false / deceptive,pseudopodium,a false foot extended by amoebae for movement,How does 'pseudo-' shape the meaning of 'pseudoscience' and 'pseudomorph'?,3
PREFIX,pyro-,fire / fever / heat,pyrolysis,the chemical decomposition of material by heat,"How does 'pyro-' connect 'pyromaniac,' 'pyrite' (fire-stone), and 'pyroclastic'?",4
PREFIX,quad- / quart-,four,quadrant,one of four equal sections,How does 'quad-' appear in 'quadrilateral'? What shape does it describe?,3
PREFIX,quasi-,as if / resembling,quasi-contract,an obligation imposed by law to prevent unjust enrichment — not a true contract,How does 'quasi-' signal that a legal concept shares features with but is not identical to the named institution?,4
PREFIX,re-,again / back,rewrite,to write again,Use the prefix 're-' to explain the difference between 'build' and 'rebuild.',1
PREFIX,re-,again / back (business),recapitalization,a restructuring of a company's mix of debt and equity capital,When might a private-equity firm use 'recapitalization' to return capital to investors?,1
PREFIX,res-,thing / matter (Latin),res judicata,the matter has been judged — a decided case cannot be relitigated,How does 'res' function as a legal shorthand for the subject matter of a proceeding?,4
PREFIX,retro-,backward / back,retrospect,looking back on the past,How does 'retro-' shape the meaning of 'retrofit'?,3
PREFIX,retro-,backward / behind / past,retrograde,moving backward / in a direction opposite to normal,How does 'retro-' shape the meaning of 'retroactive' and 'retroviruses' (working backwards on RNA)?,3
PREFIX,rheo-,flow / current,rheology,the study of the flow of matter under stress,How does 'rheo-' connect 'rheostat' (a device controlling current) and 'rheometer'?,9
PREFIX,sarco-,flesh / muscle,sarcoplasm,the cytoplasm of a muscle fiber,How does 'sarco-' connect 'sarcoma' (flesh tumor) and 'sarcophagus'?,7
PREFIX,schizo-,split / divided,schizophrenia,a disorder characterized by fragmented thinking,How does 'schizo-' shape the meaning of 'schizocarp' (a fruit that splits into parts)?,6
PREFIX,sclero-,hard / hardening,sclerosis,the abnormal hardening of tissue,"How does 'sclero-' connect 'multiple sclerosis,' 'sclera' (the white of the eye), and 'atherosclerosis'?",7
PREFIX,semi-,half / partly,semicircle,half a circle,What is the difference between 'semi-' and 'hemi-'? Are they interchangeable?,2
PREFIX,sine qua non-,without which not (Latin),sine qua non test,the but-for causation test — a condition without which harm would not have occurred,How does 'sine qua non' function as the basic test for factual causation in tort law?,6
PREFIX,somato-,body,somatosensory,"relating to bodily sensation (touch, pain, temperature)",How does 'somato-' connect 'psychosomatic' (mind-body) and 'chromosome' (colored body)?,7
PREFIX,stare decisis-,to stand by decisions (Latin),stare decisis doctrine,the principle that courts follow prior binding precedents,How does 'stare decisis' promote legal certainty while allowing for incremental development of the law?,5
PREFIX,steno-,narrow / contracted,stenosis,an abnormal narrowing of a channel or vessel,How does 'steno-' connect 'stenography' (narrow/shorthand writing) and 'stenothermal'?,7
PREFIX,stereo-,solid / three-dimensional,stereochemistry,the study of three-dimensional arrangements of atoms,How does 'stereo-' shape the meaning of 'stereotype' (a fixed solid image)?,4
PREFIX,sub judice-,under the judge / before the court (Latin),sub judice rule,the prohibition on prejudicing ongoing court proceedings through public comment,Why is the 'sub judice' rule especially sensitive in high-profile criminal cases?,7
PREFIX,sub-,under / below / less,submarine,a vessel that travels under the sea,How does 'sub-' describe the position in 'subtext'?,1
PREFIX,sub-,under / subordinate (business),subordinated debt,debt that ranks below senior debt in the event of insolvency,How does 'subordinated' debt differ from senior debt in the capital stack?,1
PREFIX,sui generis-,of its own kind (Latin),sui generis protection,intellectual property protection for a unique category not fitting standard regimes,How does 'sui generis' protection for databases differ from copyright protection?,6
PREFIX,super-,above / over / beyond,supernatural,beyond what is natural,How does 'super-' intensify 'impose' in 'superimpose'?,1
PREFIX,supra-,above / beyond,supranational,above or beyond a single nation,How is 'supra-' different from 'super-' in practice?,4
PREFIX,supra-national,above the nation (business),supranational body,"an entity whose authority extends across national borders (e.g., WTO, EU)",How do 'supranational' trade rules override domestic law in member states?,6
PREFIX,sur-,over / above / beyond,surpass,to go beyond and above,How does 'sur-' shape the meaning of 'surcharge'?,3
PREFIX,syn- / sym-,together / with / same,symphony,sounds coming together harmoniously,How does 'syn-' explain the meaning of 'synthesis'?,3
PREFIX,tachy-,fast / rapid,tachycardia,abnormally rapid heart rate,How does 'tachy-' contrast with 'brady-' (slow) in medical terminology?,7
PREFIX,tele-,far / distant,telescope,an instrument for viewing distant objects,What does 'tele-' reveal about the purpose of 'telecommunications'?,2
PREFIX,telo-,end / complete / far,telomere,the protective end-cap of a chromosome,How does 'telo-' shape the meaning of 'telophase' (the end phase of cell division)?,8
PREFIX,tera-,trillion / monster,terabyte,one trillion bytes of digital information,How does 'tera-' fit into the metric prefix scale above 'giga-'?,4
PREFIX,terr-,earth,terrestrial,relating to the earth,"How does 'terr-' connect 'terrain,' 'territory,' and 'extraterrestrial'?",3
PREFIX,thanato-,death,thanatology,the scientific study of death and dying,How does 'thanato-' connect 'euthanasia' (good death) and 'Thanatos' (the Greek personification of death)?,8
PREFIX,thrombo-,clot / lump,thrombosis,the formation of a blood clot inside a vessel,How does 'thrombo-' connect 'thrombocyte' (clotting cell) and 'thromboembolic'?,6
PREFIX,topo-,place / region / surface,topography,the detailed mapping of surface features of a region,How does 'topo-' connect 'topology' (the study of spatial properties) and 'toponym'?,5
PREFIX,toxico-,poison,toxicology,the scientific study of poisons and their effects,How does 'toxico-' connect 'cytotoxic' (cell-poisoning) and 'antitoxin'?,6
PREFIX,trans-,across / through / beyond,transcontinental,crossing a continent,What does 'trans-' suggest about movement or location? Think of 'transport.',2
PREFIX,tropho-,feeding / nutrition,trophoblast,the outer layer of cells nourishing an embryo,How does 'tropho-' connect 'autotroph' (self-feeder) and 'heterotroph'?,8
PREFIX,tropo-,turning / response,troposphere,the lowest atmospheric layer where weather turns and changes,How does 'tropo-' shape the meaning of 'phototropism' (turning toward light)?,7
PREFIX,ultra vires-,beyond the powers (Latin),ultra vires act,an act exceeding the legal powers of a corporation or public body,What are the consequences when a company acts 'ultra vires' its constitutional objects?,6
PREFIX,ultra-,beyond / extreme,ultraviolet,beyond the violet end of the light spectrum,How does 'ultra-' intensify 'modern' in 'ultramodern'?,2
PREFIX,un-,not / reverse,unhappy,not happy,Compare 'undo' and 'redo' — what do 'un-' and 're-' each do to 'do'?,1
PREFIX,under-,below / too little,underestimate,to estimate too low,How does 'under-' reverse 'over-' in 'underperform' vs. 'overperform'?,1
PREFIX,under-,below / insufficient (business),undercapitalization,having insufficient capital to meet the needs of a business,Why is 'undercapitalization' a risk factor for lenders and a potential ground for piercing the corporate veil?,1
